City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Right Now,Country,Date
59,Nome,64.5011,-165.4064,17.67,45,1,10.36,clear sky,US,2022-01-31 23:41:58
60,Riyadh,24.6877,46.7219,62.74,41,27,7.11,scattered clouds,SA,2022-01-31 23:41:18
61,Severnoye,56.3491,78.3619,13.42,95,94,9.17,overcast clouds,RU,2022-01-31 23:43:19
62,Lagoa,39.05,-27.9833,58.71,79,25,23.38,scattered clouds,PT,2022-01-31 23:43:19
63,Talnakh,69.4865,88.3972,6.21,96,100,9.06,overcast clouds,RU,2022-01-31 23:43:19
64,Chokurdakh,70.6333,147.9167,-12.89,95,100,1.86,overcast clouds,RU,2022-01-31 23:41:00
65,Doba,8.65,16.85,67.69,19,56,5.53,broken clouds,TD,2022-01-31 23:43:20
66,Sorland,67.667,12.6934,34.47,55,100,10.27,overcast clouds,NO,2022-01-31 23:39:24
67,Clyde River,70.4692,-68.5914,-34.37,67,75,6.91,broken clouds,CA,2022-01-31 23:43:21
68,Makakilo City,21.3469,-158.0858,78.55,58,20,6.91,few clouds,US,2022-01-31 23:43:21
69,Asau,46.4333,26.4,25.72,86,100,4.27,overcast clouds,RO,2022-01-31 23:43:22
70,Pisco,-13.7,-76.2167,73.45,73,40,19.57,scattered clouds,PE,2022-01-31 23:43:22
71,Kodiak,57.79,-152.4072,29.71,74,100,5.75,overcast clouds,US,2022-01-31 23:43:23
72,Kruisfontein,-34.0033,24.7314,70.88,98,99,4.63,overcast clouds,ZA,2022-01-31 23:43:23
73,Santa Fe,-31.6333,-60.7,81.01,51,1,4.0,clear sky,AR,2022-01-31 23:43:24
74,Katherine,-14.4667,132.2667,77.32,94,75,6.91,light rain,AU,2022-01-31 23:43:24
75,Cabra,37.4725,-4.4421,49.89,53,0,1.97,clear sky,ES,2022-01-31 23:43:25
76,Ribeira Grande,38.5167,-28.7,59.86,75,14,14.43,few clouds,PT,2022-01-31 23:43:25
77,Auki,-8.7676,160.7034,85.86,66,100,1.34,overcast clouds,SB,2022-01-31 23:43:26
