City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
531,Moscow,55.7522,37.6156,23.23,86,100,9.08,RU,2022-01-28 17:44:52
532,Puerto Narino,-3.7703,-70.3831,87.75,46,83,4.36,CO,2022-01-28 17:49:00
533,Maniwaki,46.3834,-75.966,-1.66,59,15,8.05,CA,2022-01-28 17:44:09
534,Dillon,34.4166,-79.3712,48.11,35,100,1.07,US,2022-01-28 17:49:00
535,Mbamba,9.9833,13.1,76.48,19,4,5.44,NG,2022-01-28 17:49:01
536,West Wendover,40.7391,-114.0733,30.81,40,0,2.84,US,2022-01-28 17:48:48
537,Zhongxing,33.7039,118.6792,33.91,61,100,3.94,CN,2022-01-28 17:49:01
538,Cravo Norte,6.3017,-70.2041,96.42,24,83,11.01,CO,2022-01-28 17:49:02
539,Broken Hill,-31.95,141.4333,73.11,88,97,1.14,AU,2022-01-28 17:49:02
540,Haines Junction,60.7522,-137.5108,19.35,79,100,2.3,CA,2022-01-28 17:49:02
541,Bozdar,27.1828,68.636,57.27,18,0,7.18,PK,2022-01-28 17:49:03
542,Andrelandia,-21.7397,-44.3092,76.14,73,70,7.4,BR,2022-01-28 17:49:03
543,Siyabuswa,-25.1132,29.0445,79.2,54,62,4.18,ZA,2022-01-28 17:49:03
544,Bilibino,68.0546,166.4372,-8.1,97,75,4.85,RU,2022-01-28 17:49:04
545,Bocana De Paiwas,12.7857,-85.1227,85.35,51,27,13.04,NI,2022-01-28 17:49:04
546,Ndende,-2.4008,11.3581,77.68,84,51,0.51,GA,2022-01-28 17:49:04
547,Kiruna,67.8557,20.2251,7.72,85,0,4.61,SE,2022-01-28 17:49:05
548,Warmbad,-28.45,18.7333,89.78,17,7,7.23,NA,2022-01-28 17:49:05
549,Koshki,54.2091,50.4677,19.29,91,100,6.24,RU,2022-01-28 17:49:06
550,Atasu,48.6814,71.6433,5.88,78,73,8.59,KZ,2022-01-28 17:49:06
551,Voznesenskoye,54.89,42.7569,10.04,94,95,8.95,RU,2022-01-28 17:50:06
552,Bodden Town,19.2833,-81.25,82.99,56,20,5.01,KY,2022-01-28 17:50:07
553,La Palma,33.8464,-118.0467,68.94,17,75,10.0,US,2022-01-28 17:50:07
