City_ID,City,Max Temp,Country,Weather Right Now,Lat,Lng,Hotel Name
176,Luwuk,82.49,ID,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
180,Podor,84.15,MR,clear sky,16.6527,-14.9587,Auberge Du Tékrour
184,San Ramon De La Nueva Oran,79.38,AR,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
187,Wanning,70.21,CN,overcast clouds,18.8003,110.3967,Paradise Hotel
190,Miandrivazo,78.93,MG,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
191,Hambantota,74.91,LK,few clouds,6.1241,81.1185,Bungalow 63
197,Vao,77.88,NC,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
200,Sao Joao Da Barra,77.67,BR,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
203,Banda Aceh,76.89,ID,overcast clouds,5.5577,95.3222,Sulthan Hotel International
204,Pedernales,75.88,DO,few clouds,18.0384,-71.744,Hotel Costa Marina
206,Victor Harbor,72.72,AU,broken clouds,-35.5667,138.6167,McCracken Country Club
208,Carmen,80.64,MX,clear sky,18.6333,-91.8333,Hotel Lossandes
214,Saint-Leu,77.86,RE,overcast clouds,-21.15,55.2833,La Caz Oceane
218,Banjar,82.26,ID,overcast clouds,-8.19,114.9675,The Hamsa Resort
220,Labuhan,79.07,ID,overcast clouds,-6.8844,112.2051,DoubleFAG
225,Matara,72.77,LK,clear sky,5.9485,80.5353,Amaloh Boutique Resort
226,Poya,84.99,NC,overcast clouds,-21.35,165.15,
227,Ariquemes,71.51,BR,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
235,Hithadhoo,82.11,MV,scattered clouds,-0.6,73.0833,Scoop Guest House
238,Wanaka,78.12,NZ,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
239,Faanui,81.05,PF,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
240,Sorong,81.14,ID,light rain,-0.8833,131.25,Waigo Splash Hotel
242,Humaita,74.07,BR,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
243,Macae,75.07,BR,clear sky,-22.3708,-41.7869,Personal Hotel
246,Noumea,78.78,NC,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
251,Maridi,75.61,SS,broken clouds,4.9158,29.4742,
257,Geraldton,72.01,AU,clear sky,-28.7667,114.6,Broadwater Mariner Resort
258,Ambilobe,73.94,MG,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
260,Cidreira,73.33,BR,scattered clouds,-30.1811,-50.2056,Hotel Castelo
261,Fare,81.01,PF,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
262,East London,77.18,ZA,overcast clouds,-33.0153,27.9116,Tu Casa
265,Marawi,70.32,PH,overcast clouds,7.9986,124.2928,Derogongan Residence
266,Vila Do Maio,70.59,CV,overcast clouds,15.1333,-23.2167,Hotel Marilu
270,Port Hedland,84.25,AU,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
271,Bredasdorp,74.28,ZA,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
272,Sijunjung,71.47,ID,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
277,Caravelas,78.71,BR,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
281,Minjur,75.99,IN,scattered clouds,13.2667,80.2667,Whitefield Integrated Residential Township
283,Kedougou,80.96,SN,broken clouds,12.5579,-12.1743,Relais de Kédougou
284,Kisangani,73.36,CD,overcast clouds,0.5167,25.2,Grand Ramela Hotel
288,Sao Felix Do Xingu,71.64,BR,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
292,Basco,71.73,PH,broken clouds,20.4487,121.9702,Nathaniel's Lodge
295,Puerto Colombia,78.89,CO,clear sky,10.9878,-74.9547,Hotel El Emigrante
297,Kayes,84.45,ML,broken clouds,14.0,-11.0,
299,Carutapera,74.75,BR,overcast clouds,-1.195,-46.02,Lidera
302,Ciudad Bolivar,84.7,VE,overcast clouds,8.1222,-63.5497,Hotel Edi
305,Makasar,75.25,ID,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
306,Taperoa,75.47,BR,few clouds,-7.2075,-36.8267,Hotel Casarão Antigo
311,San Cristobal,75.38,VE,broken clouds,7.7669,-72.225,Posada Villaven C.A.
316,Mahibadhoo,82.17,MV,few clouds,3.7833,72.9667,Omadhoo Inn
317,Daru,77.63,PG,light rain,-9.0763,143.2092,Daru Lodge
321,Tumut,77.99,AU,overcast clouds,-35.3,148.2167,Amaroo Motel
332,Ippy,72.9,CF,scattered clouds,6.2679,21.2247,
333,Micheweni,78.31,TZ,scattered clouds,-4.9667,39.8333,
334,Imbituba,76.89,BR,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
336,Boyuibe,78.71,BO,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
342,Mutis,78.12,CO,overcast clouds,6.2262,-77.4044,Paraiso Escondido
345,Xuddur,70.38,SO,scattered clouds,4.1213,43.8894,Banjanay Hotel
347,Tual,83.86,ID,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
349,Niquero,73.4,CU,broken clouds,20.0431,-77.5828,Islazul Niquero
354,Opunake,72.63,NZ,overcast clouds,-39.4556,173.8583,Walton Cottage
355,Vaitape,81.07,PF,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
356,Touros,79.7,BR,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
361,Omboue,77.83,GA,overcast clouds,-1.5746,9.2618,Hotel Olako
364,Port Macquarie,84.88,AU,clear sky,-31.4333,152.9167,Rydges Port Macquarie
365,Cayenne,80.1,GF,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
369,Ambovombe,70.86,MG,scattered clouds,-25.1667,46.0833,RELAHARA
371,Vanimo,81.05,PG,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
373,Lamu,79.02,KE,broken clouds,-2.2717,40.902,Lamu House
374,Olinda,78.53,BR,thunderstorm,-8.0089,-34.8553,Hotel Albergue de Olinda
380,Bandarbeyla,76.44,SO,broken clouds,9.4942,50.8122,JABIR HOTEL
382,Kieta,81.64,PG,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
388,Pangai,80.78,TO,light rain,-19.8,-174.35,Ha'apai Beach Resort
391,Sambava,76.14,MG,overcast clouds,-14.2667,50.1667,Melrose
394,Alice Springs,76.55,AU,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
400,Saint-Pierre,78.48,RE,few clouds,-21.3393,55.4781,Lindsey Hôtel
401,Kahului,79.86,US,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
403,Kupang,82.98,ID,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
404,Sao Jose Da Coroa Grande,79.03,BR,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
405,Todos Santos,76.1,MX,clear sky,23.45,-110.2167,Hotel California Todos Santos
407,Charagua,78.37,BO,broken clouds,-19.8,-63.2167,Hotel
408,Alta Floresta,70.7,BR,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
411,Maxixe,74.48,MZ,scattered clouds,-23.8597,35.3472,Oceano
412,Quatre Cocos,79.09,MU,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
413,Finschhafen,84.34,PG,overcast clouds,-6.6024,147.8681,Cossam Guest House
415,Inhambane,75.52,MZ,scattered clouds,-23.865,35.3833,Oceano
416,Kirakira,84.63,SB,overcast clouds,-10.4544,161.9205,SanBiz Lodge
423,Sur,72.0,OM,clear sky,22.5667,59.5289,Sur Plaza Hotel
424,Namibe,71.78,AO,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
434,Dingle,77.63,PH,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
435,Pimentel,73.69,PE,clear sky,-6.8367,-79.9342,Casona Del Muelle
437,Camacari,82.17,BR,clear sky,-12.6975,-38.3242,Hotel Cambuci
439,Mobaye,72.01,CF,broken clouds,4.319,21.1786,
440,Cockburn Town,73.85,TC,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
442,Mazagao,77.05,BR,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
443,Cap Malheureux,79.47,MU,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
444,Salvacion,75.96,PH,overcast clouds,7.9833,126.1333,
446,Ambulu,78.55,ID,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
450,El Seibo,76.53,DO,scattered clouds,18.7641,-69.0375,Defensa Civil del Seibo
451,Yenagoa,72.75,NG,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
453,Sinnamary,76.8,GF,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
455,Chimore,72.61,BO,overcast clouds,-16.9833,-65.1333,Bichito
459,Baculin,80.26,PH,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
461,Beloha,71.76,MG,scattered clouds,-25.1667,45.05,
464,Bakau,75.34,GM,overcast clouds,13.4781,-16.6819,Badala Park Hotel
468,Padang,77.05,ID,broken clouds,-0.9492,100.3543,Mercure Padang
469,Trenggalek,77.34,ID,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
471,Bacalar,70.86,MX,overcast clouds,18.6667,-88.3833,Hotel Laguna Bacalar
477,Road Town,78.84,VG,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
480,Port-Gentil,80.96,GA,light rain,-0.7193,8.7815,Fengshui Residence
481,Ugoofaaru,82.29,MV,few clouds,5.6667,73.0,Ungoofaaru Inn
483,Richards Bay,74.35,ZA,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
490,Santa Maria,81.7,BR,scattered clouds,-29.6842,-53.8069,Hotel Morotin
494,Puerto Escondido,81.54,MX,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
495,Say,72.16,NE,few clouds,13.1007,2.3689,
497,Prachuap Khiri Khan,71.91,TH,few clouds,12.2167,99.75,ผกากรองรีสอร์ท
499,Wajir,75.83,KE,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
501,Mandera,75.6,KE,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
507,Thinadhoo,82.56,MV,few clouds,0.5333,72.9333,
512,Huarmey,71.92,PE,broken clouds,-10.0681,-78.1522,Hotel Miramar
516,San Policarpo,79.79,PH,broken clouds,12.1791,125.5072,Agapita M. Nicart
526,Sarandi,80.15,BR,scattered clouds,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
527,Mahanoro,75.31,MG,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
530,Bungu,71.65,TZ,light rain,-7.6337,39.0582,JaJa Lodge
534,Pekalongan,79.02,ID,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
537,Sigli,76.64,ID,overcast clouds,5.3848,95.9609,Losmen Dua Mali
538,Buluang,77.49,PH,scattered clouds,13.3068,123.3425,Enon Beach Resort
540,Chandler,70.23,US,broken clouds,33.3062,-111.8412,"Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort, an IHG Hotel"
541,Denpasar,82.06,ID,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
543,Bubaque,77.52,GW,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
548,Kiunga,75.81,PG,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
549,Te Anau,72.43,NZ,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
555,Oranjestad,78.75,AW,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
560,Kaili,72.72,ID,light rain,-3.4626,120.2147,
561,Eyl,75.24,SO,scattered clouds,7.9803,49.8164,Amiin Hotel
563,Hualmay,71.37,PE,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
565,Poum,81.16,NC,overcast clouds,-20.2333,164.0167,Gîte kajeon
566,Ipixuna,76.95,BR,heavy intensity rain,-1.7625,-48.8043,Casa da Oscarina
567,Vallenar,71.51,CL,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
573,Comodoro Rivadavia,75.06,AR,broken clouds,-45.8667,-67.5,Austral Hotel
581,Praia,70.34,CV,clear sky,14.9215,-23.5087,LT Aparthotel
585,Polewali,79.9,ID,overcast clouds,-3.4324,119.3435,Lilianto Hotel
586,Itarema,79.12,BR,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
588,Nargana,78.42,PA,scattered clouds,9.4428,-78.5906,Dubbir
590,Sampit,76.39,ID,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
596,Pauini,78.58,BR,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
601,Tevaitoa,80.92,PF,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
603,Ibitinga,76.59,BR,overcast clouds,-21.7578,-48.8289,Victoria Park Hotel e Restaurante
